Age,Gender,Region / State,Purchase Count,Total Spend,Average Order Value,Average Items Per Order,Last Purchase Days,Tenure Days,Preferred Category,Category Diversity,Preferred Channel,Session Count,Engagement Score,Campaign Engagement Score,Email Click Rate,Campaign Conversion Rate,Loyalty Score,Value Score,Purchase Frequency,Target
52.0,Male,East,11,20078.77,1670.97,4.73,9,466,Books,4,Call,10,71.43,72.31,0.265,0.091,60.16,32.09,0.7082,0
42.0,Female,East,2,1756.32,849.52,5.6,152,686,Fashion,2,Push,0,8.63,3.21,0.0,0.0,30.49,18.56,0.0875,0
41.0,Female,West,2,5408.71,2635.99,2.78,23,247,Electronics,2,SMS,10,61.2,54.91,0.201,0.043,48.61,16.1,0.2429,0
41.0,Male,East,5,5026.58,1059.01,7.07,3,420,Beauty,3,Push,16,70.54,59.1,0.172,0.019,54.32,16.81,0.3571,0
38.0,Male,North,6,10766.26,1760.89,1.59,77,168,Electronics,2,Email,0,6.69,26.13,0.018,0.005,38.33,25.84,1.0714,0
47.0,Male,South,2,2339.66,1185.62,3.65,58,705,Sports,2,Push,2,13.2,16.34,0.043,0.004,35.63,23.75,0.0851,0
37.0,Female,South,8,15642.32,1874.73,4.47,3,1318,Electronics,2,WhatsApp,11,67.41,79.86,0.208,0.083,57.91,24.99,0.1821,0
45.0,Female,West,8,11154.76,1408.89,3.29,13,237,Grocery,3,Email,19,77.63,65.84,0.449,0.195,58.66,24.9,1.0127,0
32.0,Female,East,15,64250.62,4118.67,1.53,10,154,Electronics,3,Push,18,79.78,90.75,0.38,0.204,64.97,39.59,2.9221,1
18.0,Female,East,2,2398.17,1099.18,3.17,26,669,Electronics,1,Push,1,28.61,32.68,0.027,0.007,40.88,16.13,0.0897,0
42.0,Female,North,0,0.0,0.0,0.0,486,486,,0,SMS,3,46.44,46.84,0.195,0.051,34.37,14.99,0.0,0
34.0,Male,Central,0,0.0,0.0,0.0,853,853,,0,Email,7,58.16,60.16,0.235,0.05,26.16,12.28,0.0,0
21.0,Female,Central,4,4933.94,1310.75,1.58,57,1347,Sports,2,Push,3,10.33,30.72,0.012,0.003,36.22,26.26,0.0891,0
30.0,Female,South,3,6495.72,2032.03,3.62,11,88,Beauty,2,Email,10,49.52,52.12,0.129,0.019,48.19,30.61,1.0227,0
53.0,Female,East,6,9918.91,1705.62,5.72,12,446,Grocery,3,SMS,9,48.68,57.77,0.138,0.016,50.29,19.45,0.4036,0
24.0,Male,East,0,0.0,0.0,0.0,515,515,,0,SMS,5,63.66,63.68,0.414,0.054,37.48,12.06,0.0,0
43.0,Male,South,3,2390.01,737.27,2.72,38,629,Electronics,2,WhatsApp,2,32.81,26.12,0.052,0.011,42.16,12.33,0.1431,0
34.0,Male,North,7,20426.29,3050.65,3.28,9,939,Books,2,Call,13,71.76,66.83,0.382,0.149,58.4,27.49,0.2236,0
38.0,Female,North,8,24011.43,3432.73,2.71,8,357,Electronics,3,Push,7,52.4,57.71,0.139,0.032,51.46,28.53,0.6723,0
18.0,Male,Central,6,11097.5,1819.55,2.02,2,725,Books,3,Email,16,83.01,74.33,0.617,0.18,59.91,25.96,0.2483,0
,Male,North,6,7885.28,1271.06,2.77,18,763,Home,2,Push,4,65.01,63.47,0.228,0.064,54.46,14.05,0.2359,0
39.0,Female,South,3,4719.16,1624.04,1.85,36,653,Fashion,2,Email,4,51.71,59.38,0.259,0.08,48.46,22.59,0.1378,0
48.0,,North,1,1319.9,1363.76,1.38,70,798,Electronics,1,WhatsApp,3,25.93,28.34,0.036,0.006,36.07,21.24,0.0376,0
37.0,Female,West,2,4513.44,2246.05,1.86,33,589,Fashion,1,Push,1,26.98,27.77,0.02,0.004,37.03,22.45,0.1019,0
27.0,Male,North,2,5741.9,2757.04,1.08,11,701,Beauty,2,Email,19,85.08,83.5,0.374,0.095,56.22,28.54,0.0856,0
26.0,Female,North,5,8212.78,1594.43,1.0,6,92,Beauty,2,WhatsApp,12,73.53,74.89,0.204,0.058,54.84,22.71,1.6304,0
40.0,Female,West,5,8686.95,1865.63,2.32,11,489,Grocery,2,Call,7,43.12,39.08,0.118,0.024,46.4,27.05,0.3067,0
40.0,Male,North,0,0.0,0.0,0.0,355,355,,0,WhatsApp,4,37.73,52.76,0.051,0.007,33.06,20.68,0.0,0
30.0,Female,South,8,18876.85,2457.77,2.8,5,980,Beauty,3,Email,7,54.9,52.92,0.149,0.054,52.59,23.99,0.2449,0
31.0,Female,Central,2,2110.26,1004.52,3.11,124,113,Beauty,1,Email,2,17.46,32.76,0.028,0.003,34.63,26.24,0.531,0
42.0,Female,North,3,1870.17,602.86,4.87,44,525,Home,2,WhatsApp,3,41.69,34.74,0.138,0.01,42.74,7.67,0.1714,0
44.0,Female,Central,2,2991.25,1522.22,3.16,8,496,Fashion,2,SMS,5,67.7,43.29,0.12,0.016,50.79,17.01,0.121,0
36.0,Male,West,1,836.59,867.77,1.65,13,180,Home,1,Push,13,62.84,57.68,0.161,0.05,50.81,15.43,0.1667,0
42.0,,South,1,1650.01,1625.12,3.14,57,530,Fashion,1,Email,7,42.8,39.57,0.129,0.026,41.62,13.92,0.0566,0
18.0,Male,South,6,9961.67,1683.89,2.22,3,466,Electronics,2,SMS,17,75.27,87.39,0.538,0.135,59.44,17.85,0.3863,0
30.0,Female,South,17,37740.33,2306.1,5.24,12,1427,Electronics,4,Email,7,74.64,86.45,0.186,0.034,64.75,34.9,0.3574,1
49.0,Male,East,1,459.72,465.37,5.74,30,641,Sports,1,Push,2,35.68,29.76,0.071,0.006,39.53,11.87,0.0468,0
18.0,Male,Central,8,19505.95,2421.72,2.72,65,70,Grocery,2,Email,1,28.73,27.62,0.025,0.008,40.98,30.14,3.4286,0
33.0,Female,West,0,0.0,0.0,0.0,287,287,,0,Email,8,76.6,52.15,0.139,0.022,42.18,6.27,0.0,0
34.0,Female,South,3,3737.11,1340.65,5.04,13,860,Toys,2,WhatsApp,2,35.28,43.19,0.112,0.017,43.64,16.9,0.1047,0
44.0,Male,South,4,8978.77,2474.91,1.59,44,719,Beauty,2,Call,4,36.05,37.11,0.038,0.008,42.3,22.15,0.1669,0
25.0,Male,West,4,15902.23,3636.76,2.5,30,925,Fashion,2,Email,1,49.11,51.89,0.185,0.076,48.96,26.64,0.1297,0
60.0,Male,South,2,6287.99,3448.67,5.0,11,935,Beauty,2,WhatsApp,14,66.37,73.96,0.361,0.123,51.43,27.2,0.0642,0
58.0,Male,West,5,16160.96,3133.0,3.87,16,970,Home,3,Email,11,68.57,70.2,0.358,0.068,54.05,28.5,0.1546,0
32.0,Male,North,0,0.0,0.0,0.0,192,192,,0,Email,5,43.93,44.88,0.177,0.053,40.63,16.55,0.0,0
47.0,Female,South,2,2019.75,985.35,1.39,195,290,Beauty,1,WhatsApp,0,4.79,6.32,0.007,0.001,29.4,15.58,0.2069,0
23.0,Female,South,2,3888.99,1877.09,4.26,4,1246,Home,2,Call,12,62.5,80.37,0.312,0.058,53.09,28.32,0.0482,0
36.0,Female,East,0,0.0,0.0,0.0,157,157,,0,Email,5,29.21,30.0,0.023,0.005,35.36,18.09,0.0,0
31.0,Male,North,1,1458.36,1498.59,3.66,44,169,Sports,1,WhatsApp,7,59.33,44.85,0.174,0.03,46.97,8.82,0.1775,0
19.0,Female,West,1,1401.87,1274.71,1.51,23,556,Beauty,1,Push,6,49.86,36.47,0.133,0.01,44.29,9.83,0.054,0
30.0,Female,South,4,5688.52,1432.68,3.18,5,855,Electronics,3,WhatsApp,37,91.88,92.8,0.615,0.112,60.04,11.74,0.1404,0
48.0,Male,North,8,11201.24,1306.55,5.01,2,411,Fashion,4,Email,19,89.38,87.94,0.29,0.095,62.62,25.53,0.5839,0
49.0,Female,North,1,1550.63,1480.63,2.36,51,802,Toys,1,Email,6,36.06,40.92,0.029,0.008,41.12,21.51,0.0374,0
52.0,Female,West,4,7336.29,1890.71,4.19,83,328,Books,2,WhatsApp,1,19.87,34.44,0.034,0.007,37.17,27.08,0.3659,0
52.0,Other,West,4,10232.03,2522.22,2.69,54,213,Fashion,2,Push,2,24.91,22.63,0.018,0.003,38.29,16.4,0.5634,0
49.0,Male,North,9,13213.89,1434.74,5.75,7,195,Beauty,3,SMS,7,70.02,49.09,0.188,0.022,53.67,22.36,1.3846,0
39.0,Female,West,4,4290.07,1007.04,3.15,21,2127,Toys,2,Email,2,35.55,46.11,0.062,0.017,43.57,26.31,0.0564,0
27.0,Female,Central,2,2577.42,1294.43,1.29,105,320,Electronics,1,WhatsApp,0,25.18,26.79,0.033,0.007,36.34,17.08,0.1875,0
55.0,Male,South,0,0.0,0.0,0.0,1007,1007,,0,Push,5,40.4,40.86,0.092,0.024,15.99,24.49,0.0,0
48.0,,North,2,2378.66,1181.5,2.18,22,275,Home,2,Email,5,57.56,46.09,0.167,0.039,49.31,13.75,0.2182,0
42.0,Female,South,1,1180.73,1107.48,2.02,14,839,Books,1,Email,1,49.6,29.61,0.108,0.029,44.84,16.48,0.0358,0
52.0,Male,West,2,1571.22,802.83,2.37,20,275,Home,2,Email,6,33.81,37.04,0.08,0.01,42.48,16.32,0.2182,0
31.0,Female,South,3,6477.12,1971.04,1.14,5,1139,Fashion,2,SMS,1,45.2,32.79,0.09,0.014,44.52,9.67,0.079,0
37.0,Male,East,0,0.0,0.0,0.0,333,333,,0,Email,3,53.35,62.04,0.092,0.013,35.48,24.78,0.0,0
48.0,Other,North,1,843.51,816.51,2.44,55,414,Grocery,1,Push,2,61.71,55.53,0.103,0.019,46.07,15.44,0.0725,0
21.0,Female,North,2,4410.96,2134.47,1.01,6,507,Home,2,Push,5,69.57,57.58,0.147,0.029,48.48,20.39,0.1183,0
50.0,Male,Central,1,2126.64,2153.45,2.92,54,92,Electronics,1,WhatsApp,1,16.89,17.76,0.012,0.002,34.27,24.84,0.3261,0
37.0,Male,Central,1,2089.17,2010.35,3.31,17,114,Grocery,1,Email,7,59.4,58.53,0.158,0.044,46.6,24.52,0.2632,0
26.0,Male,Central,7,15343.21,2188.13,3.87,20,299,Beauty,3,Email,2,44.26,50.81,0.077,0.014,47.12,27.33,0.7023,0
27.0,Female,North,2,3598.64,1742.36,3.96,22,133,Home,2,WhatsApp,5,31.53,28.7,0.043,0.008,38.97,19.23,0.4511,0
47.0,Female,East,3,3185.66,1057.96,4.46,29,526,Sports,2,Email,3,50.28,27.54,0.08,0.015,43.8,16.02,0.1711,0
40.0,Male,North,4,7935.33,1810.31,2.28,8,396,Beauty,3,Push,13,77.01,78.21,0.418,0.17,55.66,19.67,0.303,0
43.0,Female,West,2,1349.26,715.56,1.34,9,357,Beauty,2,Push,13,65.22,59.61,0.272,0.03,52.06,6.32,0.1681,0
40.0,Other,East,2,1716.41,901.83,2.87,39,257,Sports,2,Push,2,54.2,35.3,0.109,0.008,46.29,7.72,0.2335,0
42.0,Male,South,2,1512.48,727.16,1.64,38,411,Fashion,2,Email,3,32.69,35.83,0.077,0.007,39.27,8.5,0.146,0
30.0,Female,North,1,1269.72,1189.19,1.0,61,284,Books,1,SMS,2,22.92,28.9,0.002,0.0,35.38,10.85,0.1056,0
20.0,Male,South,6,11482.88,1841.99,2.98,54,561,Toys,2,WhatsApp,5,28.28,33.66,0.062,0.016,41.62,24.62,0.3209,0
32.0,Female,West,0,0.0,0.0,0.0,936,936,,0,Push,4,49.83,49.24,0.079,0.02,21.7,11.52,0.0,0
26.0,Female,South,8,9463.54,1179.53,1.0,16,839,Toys,3,Email,6,50.95,48.66,0.058,0.007,50.91,16.82,0.2861,0
58.0,Female,East,4,9737.29,2559.37,3.34,48,529,Toys,2,SMS,3,39.83,44.41,0.081,0.027,42.12,32.0,0.2268,0
45.0,Male,Central,3,7001.29,2359.9,1.61,29,1438,Grocery,3,Push,12,72.46,67.12,0.34,0.072,52.75,16.89,0.0626,0
29.0,,South,11,56688.66,5244.99,1.7,18,1362,Electronics,2,SMS,6,54.98,52.46,0.299,0.068,55.73,30.41,0.2423,0
38.0,Female,West,1,1090.0,1110.12,1.6,235,145,Toys,1,SMS,2,3.18,4.67,0.001,0.0,26.88,11.35,0.2069,0
44.0,Female,Central,1,3214.3,3268.14,1.42,20,83,Beauty,1,Push,3,49.93,55.46,0.115,0.013,46.1,18.14,0.3614,0
42.0,Male,East,1,999.27,910.41,5.18,9,427,Beauty,1,Email,8,59.44,64.51,0.332,0.092,50.97,11.21,0.0703,0
32.0,Female,South,3,3721.58,1314.78,3.17,21,976,Fashion,2,Call,3,52.13,52.99,0.22,0.038,48.28,16.86,0.0922,0
47.0,Male,South,5,11581.19,2447.0,4.9,7,533,Home,3,Push,8,61.81,61.34,0.173,0.041,52.87,28.63,0.2814,0
57.0,Female,Central,1,667.77,726.39,3.11,21,392,Toys,1,Push,0,42.56,37.73,0.134,0.017,43.29,6.08,0.0765,0
33.0,Male,South,4,8914.06,2475.29,1.69,13,867,Beauty,2,Call,3,60.48,59.76,0.076,0.026,47.23,24.8,0.1384,0
20.0,Female,Central,10,18380.32,1683.94,2.78,19,659,Fashion,3,WhatsApp,6,50.09,51.65,0.09,0.02,51.76,23.45,0.4552,0
18.0,Female,East,2,3131.89,1555.79,1.53,8,187,Grocery,2,Email,7,60.97,50.09,0.073,0.018,47.71,14.41,0.3209,0
52.0,Female,East,0,0.0,0.0,0.0,147,147,,0,Call,4,35.67,35.24,0.108,0.013,37.12,7.62,0.0,0
44.0,Female,South,4,3207.83,760.15,3.7,17,698,Grocery,2,SMS,11,73.04,75.14,0.278,0.11,55.08,20.91,0.1719,0
29.0,Female,South,5,8710.26,1781.33,3.21,13,225,Home,2,Call,22,88.71,71.45,0.533,0.064,57.65,15.34,0.6667,0
32.0,Male,East,2,3400.55,1714.19,2.49,9,569,Sports,2,Email,4,38.64,41.13,0.066,0.01,42.42,22.52,0.1054,0
39.0,Male,East,3,4629.16,1713.79,1.15,29,788,Electronics,2,WhatsApp,2,18.58,31.42,0.022,0.003,38.68,20.49,0.1142,0
57.0,Male,Central,4,9978.49,2696.36,3.36,41,358,Home,2,Push,3,16.73,31.43,0.024,0.004,38.22,33.88,0.3352,0
40.0,Male,North,4,4817.85,1196.17,4.16,21,763,Electronics,2,Push,9,69.05,55.08,0.111,0.022,50.51,17.9,0.1573,0
45.0,Male,Central,3,3154.59,1024.06,3.05,11,259,Sports,2,Push,6,71.92,50.0,0.204,0.02,51.3,10.76,0.3475,0
52.0,Male,South,7,13492.37,1878.82,5.25,4,735,Grocery,3,Email,12,62.27,72.46,0.231,0.077,53.23,22.59,0.2857,0
29.0,Male,North,12,34501.01,3093.67,1.0,10,750,Books,3,Push,3,62.6,59.52,0.238,0.076,57.47,24.23,0.48,0
44.0,Male,Central,4,19059.54,4573.16,2.28,11,513,Books,2,Email,2,50.48,41.83,0.104,0.044,43.62,32.95,0.2339,0
20.0,Female,West,7,23443.88,3279.33,5.67,98,1161,Grocery,2,Email,1,1.87,20.24,0.005,0.001,36.46,29.28,0.1809,0
31.0,Male,Central,2,3085.59,1440.52,1.62,40,69,Electronics,2,SMS,6,41.66,33.74,0.101,0.021,41.88,23.71,0.8696,0
62.0,Male,South,9,47292.42,5497.63,4.0,7,875,Grocery,3,Push,12,73.45,86.36,0.19,0.037,61.82,35.28,0.3086,0
46.0,Female,South,1,1125.83,1215.32,3.01,29,109,Home,1,SMS,5,55.28,49.87,0.215,0.022,47.03,9.41,0.2752,0
39.0,Female,North,3,2966.7,979.94,1.9,11,192,Sports,2,Email,4,53.39,55.69,0.117,0.026,50.15,13.99,0.4687,0
30.0,Female,Central,2,2147.37,1118.47,1.69,14,501,Home,2,SMS,12,72.82,57.09,0.136,0.025,52.54,11.47,0.1198,0
27.0,Female,Central,1,1840.69,1863.39,3.4,16,504,Electronics,1,Email,0,28.25,31.92,0.067,0.007,39.42,16.26,0.0595,0
27.0,Female,Central,2,2005.91,988.84,1.08,26,165,Home,1,Push,8,51.1,40.22,0.155,0.024,47.55,8.18,0.3636,0
33.0,Female,South,4,4238.25,1083.83,1.61,12,678,Grocery,2,WhatsApp,9,58.48,63.32,0.246,0.078,51.5,26.4,0.177,0
62.0,Male,North,0,0.0,0.0,0.0,299,299,,0,WhatsApp,3,25.32,34.87,0.042,0.01,31.02,17.79,0.0,0
55.0,Male,South,4,3587.29,919.96,1.0,10,492,Electronics,2,WhatsApp,4,58.72,45.08,0.171,0.017,50.49,7.68,0.2439,0
51.0,Female,South,0,0.0,0.0,0.0,418,418,,0,WhatsApp,9,78.47,62.63,0.512,0.147,43.12,10.64,0.0,0
31.0,Female,North,4,2317.83,605.96,1.0,27,702,Home,2,Push,5,31.56,41.36,0.087,0.024,44.4,23.25,0.1709,0
49.0,Male,South,2,4800.39,2536.97,2.1,74,241,Grocery,1,Email,2,7.27,19.52,0.005,0.001,34.23,28.21,0.249,0
58.0,Female,South,5,30011.02,5568.18,1.83,9,911,Home,3,WhatsApp,4,49.31,62.6,0.199,0.068,49.86,36.99,0.1647,0
18.0,Male,North,13,112133.88,8101.63,1.89,61,650,Home,3,Email,3,29.46,46.32,0.072,0.032,48.56,44.57,0.6,0
27.0,Female,West,2,3071.43,1593.09,1.66,14,195,Fashion,2,WhatsApp,3,61.88,58.54,0.162,0.057,47.54,24.27,0.3077,0
54.0,Male,South,0,0.0,0.0,0.0,587,587,,0,Push,2,36.11,37.45,0.054,0.01,24.37,10.84,0.0,0
19.0,Male,East,1,533.39,522.71,2.0,18,706,Electronics,1,Call,8,54.7,44.93,0.254,0.02,45.79,4.27,0.0425,0
49.0,Female,North,7,13514.1,1849.5,2.59,7,1120,Books,3,WhatsApp,14,71.07,72.41,0.329,0.055,58.33,23.46,0.1875,0
32.0,Male,South,3,3265.15,1046.39,2.02,12,162,Beauty,2,Email,6,49.39,50.53,0.151,0.03,46.78,12.48,0.5556,0
54.0,Female,West,0,0.0,0.0,0.0,639,639,,0,Email,2,7.5,17.45,0.018,0.002,18.87,15.91,0.0,0
31.0,Female,East,3,2678.37,872.92,1.0,11,353,Electronics,2,WhatsApp,5,70.3,60.77,0.244,0.034,49.8,14.22,0.255,0
44.0,Female,North,2,1531.65,773.11,1.81,28,500,Grocery,2,Email,3,45.15,54.43,0.141,0.029,45.98,18.68,0.12,0
72.0,Male,North,6,18349.5,2956.11,5.02,8,462,Home,2,Email,4,59.01,45.67,0.157,0.047,50.95,30.84,0.3896,0
51.0,Female,North,4,6984.01,1733.63,2.5,7,446,Fashion,3,WhatsApp,9,71.78,70.27,0.46,0.124,54.64,21.98,0.2691,0
40.0,Female,West,3,6969.91,2573.69,4.76,57,199,Sports,2,WhatsApp,5,45.8,29.88,0.035,0.007,42.01,18.83,0.4523,0
26.0,Female,South,2,1373.0,701.02,3.37,23,575,Fashion,2,Email,6,39.73,42.38,0.072,0.01,43.81,10.56,0.1043,0
21.0,Female,West,0,0.0,0.0,0.0,334,334,,0,Push,2,25.92,25.7,0.022,0.002,29.56,6.31,0.0,0
26.0,Male,North,2,3429.62,1674.64,7.38,41,448,Beauty,2,WhatsApp,8,52.96,42.93,0.228,0.044,46.95,15.43,0.1339,0
27.0,Female,North,5,5171.62,1014.06,1.0,17,747,Electronics,3,Push,9,52.51,56.88,0.216,0.046,49.62,19.77,0.2008,0
55.0,Female,South,4,32313.81,8260.22,2.09,14,280,Sports,2,Email,1,37.4,48.73,0.153,0.057,45.76,36.08,0.4286,0
33.0,Male,Central,4,10675.03,2442.65,2.7,5,973,Beauty,2,WhatsApp,7,59.04,74.49,0.317,0.069,53.28,21.93,0.1233,0
40.0,Female,North,2,4241.96,2352.33,2.46,39,714,Sports,1,Call,2,21.74,30.36,0.044,0.005,38.41,29.36,0.084,0
45.0,Female,East,0,0.0,0.0,0.0,94,94,,0,Email,8,63.3,49.54,0.156,0.027,43.62,15.11,0.0,0
44.0,Male,South,1,1219.03,1156.86,4.61,21,615,Books,1,SMS,12,60.62,49.19,0.167,0.019,49.63,9.44,0.0488,0
43.0,Male,South,1,1220.06,1189.48,3.85,21,727,Fashion,1,Email,3,38.29,37.37,0.074,0.01,41.29,11.11,0.0413,0
51.0,Male,North,1,1155.78,1239.38,2.57,69,936,Electronics,1,WhatsApp,1,9.96,22.57,0.02,0.002,35.11,13.12,0.0321,0
45.0,Female,North,3,9306.76,3212.98,1.77,41,767,Fashion,2,Email,0,12.36,33.69,0.006,0.001,35.92,36.3,0.1173,0
38.0,Male,West,2,1394.17,688.99,3.31,21,1231,Toys,2,Call,5,55.2,33.77,0.223,0.024,47.17,12.3,0.0487,0
51.0,Female,West,9,34891.52,3583.05,2.18,8,339,Electronics,4,Email,17,89.86,80.62,0.26,0.072,61.96,29.99,0.7965,0
36.0,Female,West,2,3387.95,1700.46,3.41,23,91,Beauty,2,Call,4,23.04,28.54,0.085,0.014,41.52,11.74,0.6593,0
51.0,Female,West,8,31052.96,3790.04,2.59,25,132,Grocery,3,Email,7,59.53,56.54,0.162,0.035,53.77,30.53,1.8182,0
26.0,Female,Central,1,1517.66,1505.32,2.08,267,377,Grocery,1,Email,0,12.38,21.61,0.004,0.0,26.54,23.89,0.0796,0
34.0,Male,North,3,4526.34,1586.72,3.15,41,404,Fashion,2,Email,8,49.46,61.23,0.208,0.051,49.03,18.7,0.2228,0
23.0,Female,West,0,0.0,0.0,0.0,387,387,,0,SMS,3,21.62,38.45,0.045,0.011,27.9,19.59,0.0,0
18.0,Female,West,1,2308.65,2326.45,3.41,14,186,Electronics,1,SMS,4,39.16,40.61,0.115,0.019,42.52,13.81,0.1613,0
68.0,Female,East,6,8605.91,1393.81,2.5,29,902,Beauty,2,SMS,6,63.42,66.27,0.213,0.082,49.42,24.9,0.1996,0
37.0,Female,West,1,1516.04,1428.11,2.7,61,99,Home,1,Push,1,23.89,11.51,0.018,0.003,34.04,15.62,0.303,0
46.0,Male,Central,8,7552.79,929.27,5.11,2,41,Electronics,5,Email,61,96.15,94.36,0.537,0.218,64.77,9.52,5.8537,0
39.0,Male,West,4,2619.91,613.79,5.63,22,739,Home,2,Push,3,29.77,34.59,0.07,0.011,43.09,8.87,0.1624,0
18.0,Female,North,1,1589.91,1611.38,5.7,25,207,Fashion,1,Email,10,66.55,72.19,0.316,0.081,49.57,21.82,0.1449,0
60.0,Female,South,14,48273.56,3526.27,5.13,6,789,Books,4,Push,20,82.06,78.69,0.519,0.176,64.94,36.02,0.5323,1
25.0,Male,South,6,6831.56,1088.62,4.45,20,391,Electronics,2,Email,8,57.57,48.95,0.276,0.056,51.24,22.0,0.4604,0
,Female,South,1,1510.51,1582.36,3.26,69,614,Electronics,1,Email,2,20.95,38.13,0.025,0.002,35.85,18.9,0.0489,0
55.0,Female,West,2,4975.99,2659.26,1.58,27,631,Grocery,2,Push,5,58.42,61.91,0.154,0.035,46.63,23.13,0.0951,0
22.0,Female,East,3,21881.25,7622.03,2.07,147,197,Grocery,1,SMS,1,20.06,27.67,0.005,0.001,32.73,32.77,0.4569,0
32.0,Female,North,5,8070.64,1757.76,4.51,10,1729,Home,2,Email,5,39.67,48.87,0.068,0.022,46.09,22.66,0.0868,0
54.0,Female,North,4,2853.79,724.44,3.49,18,929,Fashion,3,Email,23,83.6,66.93,0.365,0.082,57.87,16.12,0.1292,0
46.0,Male,Central,4,6015.61,1424.01,2.97,30,835,Home,2,Email,0,18.74,34.32,0.03,0.005,38.17,30.41,0.1437,0
47.0,Female,East,2,4146.61,2098.84,4.29,19,417,Sports,2,Email,2,27.7,40.13,0.052,0.008,40.21,24.47,0.1439,0
53.0,Female,West,10,34327.72,3407.72,2.63,6,48,Home,3,Email,22,85.17,76.75,0.484,0.161,63.36,34.94,6.25,0
58.0,Female,South,3,6281.35,2047.92,3.33,38,457,Beauty,2,SMS,8,54.34,54.04,0.161,0.023,45.03,22.2,0.1969,0
32.0,Male,North,1,666.04,661.17,1.33,51,364,Electronics,1,Email,4,24.7,31.25,0.026,0.001,38.21,9.13,0.0824,0
50.0,Female,East,0,0.0,0.0,0.0,869,869,,0,Push,3,66.49,52.95,0.282,0.052,26.16,8.12,0.0,0
21.0,Female,South,4,9275.77,2408.21,1.17,73,92,Fashion,2,Push,2,44.16,49.68,0.068,0.026,42.76,34.11,1.3043,0
56.0,Female,North,3,16668.22,5700.3,1.25,82,900,Home,1,WhatsApp,0,1.47,22.41,0.002,0.0,32.1,34.93,0.1,0
